id,session_id,created_at,call_type,recorded_filename,direct_pesq,pstn_pesq,volte_pesq,voip_pesq
e3265c37-bdfa-4d81-99a9-83806c24d33b,8f892948-4e30-49ba-a341-9ccfffc194dc,2026-04-11 12:20:33.865877+05:30,device,webrtc_recording.wav,1.0850,1.2220,1.0870,1.0970
b2815df3-dc5d-4c6e-98d8-fb2ae6c07c95,13cb9e25-a74f-4bed-b407-30edfdc44125,2026-04-11 12:13:07.697022+05:30,device,webrtc_recording.wav,1.7550,1.2580,1.8540,1.0920
d5db90be-c49b-4d65-91c2-91450a59013f,091145f9-479c-4cec-aa50-a8a0b8c2820d,2026-04-11 12:09:51.867292+05:30,device,webrtc_recording.wav,1.2630,1.5320,1.2200,1.2290
aef89be2-b54a-41fa-a58c-252059d1cae2,56f7bad1-7687-4e9d-adea-639e679a15f4,2026-04-11 11:46:55.841473+05:30,device,webrtc_recording.wav,2.3730,3.2340,2.3790,2.3270
9a82ad45-2c0c-43b4-96e4-958dfd1be21d,88d74970-8a57-434c-a175-24a1967d5e56,2026-04-11 10:54:24.926520+05:30,device,webrtc_recording.wav,2.1290,2.7760,2.1330,2.1250
8cfd417a-80d6-4204-b7db-6126e6718c50,,2026-04-11 10:53:29.879159+05:30,device,webrtc_recording.wav,1.2020,1.3650,1.1200,1.1510
02c08dc5-324c-4495-954a-81cd15bd6920,,2026-04-11 10:52:33.891600+05:30,device,webrtc_recording.wav,1.2720,1.9180,1.2830,1.2530
ab86c910-21c2-419d-b7d2-b358be12507a,ffe829a0-14a8-4c6d-9818-de9de84d91fb,2026-04-11 10:36:39.412636+05:30,device,webrtc_recording.wav,1.8140,2.4810,1.8240,1.8500
6ccc4512-3a54-4ac5-b62b-a02280058dd0,4797a6be-e517-4676-80ad-1c1987f70c53,2026-04-11 10:30:54.178939+05:30,device,webrtc_recording.wav,1.4590,2.3040,1.4690,1.4520
dd6a4f27-5ba7-40e3-b46f-a7f1347bb8f0,fcc1f050-75f7-4cb5-bc8f-9e60ff3d03bd,2026-04-11 10:10:56.565807+05:30,device,webrtc_recording.wav,1.4240,2.0710,1.4290,1.4810
e26c1d0f-2327-4893-add6-b5b373da4345,90128a07-935c-468a-8559-e900f9aa22c4,2026-04-11 08:42:43.113870+05:30,device,webrtc_recording.wav,2.2080,3.3680,2.2360,2.2430
25150c69-9ee0-4d6e-bba5-77a80c99863a,42d1fba9-194d-4706-8b55-02f068c9e5b8,2026-04-11 08:33:40.856173+05:30,device,webrtc_recording.wav,1.1930,2.2280,1.1950,1.1910
e942ac59-0333-4627-acd7-893924fed84f,8d83eee2-1212-4444-8cdd-513516dcb34e,2026-04-11 08:24:57.241157+05:30,device,webrtc_recording.wav,1.1280,1.7700,1.1320,1.1310
de76e221-86c4-497a-8ca5-bcb3d9eed2b0,d2dce1ea-6ccf-4331-adcb-3ff169dbe821,2026-04-11 00:07:18.447748+05:30,device,webrtc_recording.wav,1.4160,2.0850,1.4350,1.4560
09f36456-48a1-43a9-8fdb-462dffdac455,16ae3016-d712-4592-94b6-3c0949b1259b,2026-04-10 23:20:21.669037+05:30,device,webrtc_recording.wav,1.3150,2.3640,1.3280,1.3510
3674a34f-fb02-45d3-998a-3e46f814e5b3,c177a8c1-9e0d-4327-b7f9-0863c9211865,2026-04-10 21:16:37.358291+05:30,device,webrtc_recording.wav,1.0590,1.2810,1.0600,1.0510
6e7e9436-5d67-4765-9c6f-109047925c0c,7e38c81c-7f52-41dd-9572-37aab9e86290,2026-04-10 21:02:55.607743+05:30,device,webrtc_recording.wav,1.0640,1.5450,1.6180,1.5740
6d7a359d-7cf3-419e-890b-1927108199bb,35233cec-0ede-41df-9665-468821f6a866,2026-04-10 17:42:35.734931+05:30,device,webrtc_recording.wav,1.4750,2.1160,1.4780,1.8390
68994ed2-1cd5-42b8-84bf-11ee31c8ccab,b03c45a6-cdf1-4cb6-930a-cdedd65c3040,2026-04-10 17:34:02.831880+05:30,device,webrtc_recording.wav,1.3280,1.7920,1.1210,1.1600
dce4c81f-9f7e-4f4a-b015-07ed2177a90c,93cf0d0c-1d58-4e62-848c-c39c7e4dd420,2026-04-10 13:55:22.203593+05:30,device,webrtc_recording.wav,1.4390,3.0110,1.4470,1.4410
87c7b72c-49e3-40ef-81b5-7d337d06c223,af6d06b5-68e2-41a5-b5b8-4ea2c9936789,2026-04-10 13:48:09.409196+05:30,device,webrtc_recording.wav,2.2190,3.0530,2.2270,2.2460
d75cd5ba-d142-48ac-816c-b3990b7fc3cb,,2026-04-10 11:03:33.859308+05:30,simulated,,,4.3740,4.5870,4.4120
f898e376-b05d-4fdd-9bc7-81f632b29841,92d3c831-6ca0-4030-b354-7bf8524de71c,2026-04-10 10:55:43.607407+05:30,device,webrtc_recording.wav,1.8470,3.2940,1.8810,1.8700
d466901f-5ff6-477d-b7e1-862b8315e957,831e0c70-66d8-490b-b445-a93193b47fef,2026-04-10 10:34:16.145071+05:30,device,webrtc_recording.wav,1.6750,2.9860,1.6990,1.7120
fe3574c1-42ac-49f7-94a3-d5e843b484cb,831e0c70-66d8-490b-b445-a93193b47fef,2026-04-10 09:18:52.975927+05:30,device,webrtc_recording.wav,1.1920,2.3690,1.2020,1.2010
10300fab-07e9-4db6-9873-8fa21721ebf3,451a8764-3c88-476f-8341-0a1b3bd725bc,2026-04-10 09:06:15.085461+05:30,device,webrtc_recording.wav,1.8250,2.4470,1.8360,1.8830
b29099a7-0546-44ec-afea-afed6771a404,ef817d7a-6dc0-4ea8-8013-06061398f0c4,2026-04-10 08:39:20.278825+05:30,device,webrtc_recording.wav,1.1790,2.2530,1.1810,1.1790
4b8c820c-cd9d-4a88-a71c-18b9f6af603e,7524cbb6-20c1-4243-9b6f-50c2606ba855,2026-04-09 22:50:02.632295+05:30,device,webrtc_recording.wav,1.3350,1.9820,1.3490,1.3450
9db2e858-6a39-4561-a350-bc05e987a325,5b4238d2-4245-4b0d-929a-81d3e7ab34e0,2026-04-09 21:11:38.772070+05:30,device,webrtc_recording.wav,1.9250,2.9910,1.9410,1.9750
